meal_id,name,category,ingredient,description,veg_nonveg,nutrient,disease,diet,price,user_id
meal_id_11,3-Ingredient Peanut Protein Balls,roasted,1 Cup roasted peanuts 3/4 cup soft jaggery 1 tsp sesame seeds,https://food.ndtv.com/recipe-3-ingredient-peanut-protein-balls-957922,veg,magnesium copper,anemia diabeties scurvy rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,type_a_diet high_fiber_diet low_fat_diet omni_diet mediterranean_diet high_protien_diet vegan_diet low_carb_diet ketogenic_diet,425,84
meal_id_12,Beetroot Uttapam,beetroot,"2 Cups idli/ dosa batter 2 small Beetroots 1  Onion, finely chopped 1 small Tomato , finely chopped 1/2  Capsicum, finely chopped 3  Green Chillies, finely chopped   Oil for cooking   Salt to taste   Coriander leaves for garnish",https://food.ndtv.com/recipe-beetroot-uttapam-957907,veg,iron sodium iodine carbohydrates chloride,anemia diabeties scurvy heart_disease obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,410,43
meal_id_13,Vegetable Atta Cheela,coriander,"1 Cup Atta   to taste Salt 1/2  Haldi  1/4 cups Dahi  1/2 tsp Ajwain    Water, as required 1  Ginger, grated 2-3  Green Chillies, chopped 1 tbsp Capsicum, chopped 2 tbsp Carrot , grated 1 tbsp Beans , chopped 2 tbsp Onion   Handful of freshly chopped coriander leaves ",https://food.ndtv.com/recipe-vegetable-atta-cheela-957841,veg,iron sodium iodine chloride copper,anemia scurvy heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet dash_diet high_protien_diet gluten_free_diet vegan_diet low_sodium_diet ketogenic_diet,590,54
meal_id_14,Barley Soup,soup,"2 Tbsp barley, soaked for 2 hours 1 Tbsp masoor dal, soaked for 30 minutes 1 tsp oil 2  garlic cloves, crushed 1  green chilli, chopped 1 tsp onion, chopped 2 Tbsp carrot, cubed 2 Tbsp beans, cubed 2 Tbsp cauliflower, cubed 1/2 tsp haldi  To taste Salt 2-3  water 1 tsp ghee 1/2 tsp black pepper powder",https://food.ndtv.com/recipe-barley-soup-957794,veg,iron sodium iodine carbohydrates chloride,anemia diabeties scurvy heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,515,95
meal_id_15,Samak Ki Khichdi,khichdi,"1 cup  Samak rice 3 tbsp  Grounded peanuts 3 tbsp  Ghee, for tadka 1  Potato, chopped into small pieces  to taste Salt 4 tbsp  Curd 1/2 tsp  Jeera 1/2 tsp  Garam masala 1  Star anise 1  Clove 1  Cinnamon stick 8-10  Curry leaves 1 1/2 cup  Water 6  Green chillies   Coriander paste (a handful of)",https://food.ndtv.com/recipe-samak-ki-khichdi-957477,veg,iron sodium iodine carbohydrates chloride,anemia diabeties scurvy heart_disease obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,225,63
meal_id_16,Noodle Soup,soup,"  Medium Egg Noodles, Boiled and drizzled with Oil   Chicken Stock 1  Carrot, Large Diced 2  Bok Choy Leaves, Whole 3-4  Thai Bird Chillies, whole 1 inch  Lemongrass, crushed 1 tbsp  Celery, minced 3  Garlic Cloves, minced 1/4 cup  Scallion, whites, minced 1 inch  Ginger, minced   Red Radish, Slices (for garnish) 2 tbsp  Ginger, minced 1 tbsp  Light Soya Sauce 1 tsp  Vinegar 1 tsp  Sugar 1 tsp  Oil 2-3  Chicken (Cut of your choice, I prefer thigh boneless chicken)",https://food.ndtv.com/recipe-noodle-soup-957447,veg,iron vitamin_a vitamin_k,anemia scurvy hypertension obesity goitre pregnancy,high_fiber_diet low_fat_diet high_protien_diet vegan_diet ketogenic_diet,500,55
meal_id_17,Stuffed Mushrooms,stuffed,"12  Button (white) mushrooms, stems removed 6  Mushrooms, finely minced 1  Onion, minced 5  Garlic cloves, minced 1 tbsp  Cilantro, chopped finely 1 tbsp  Butter 1 cup  Grated mozzarella  to taste Salt 1 tsp  Pepper",https://food.ndtv.com/recipe-stuffed-mushrooms-957445,veg,sodium iodine chloride,rickets heart_disease obesity goitre kidney_disease,vegan_diet low_sodium_diet low_fat_diet,320,75
meal_id_18,Avocado Toast,cheese,"2 slices  Sourdough 1  Garlic head 1 tbsp  Olive oil 1 tbsp  Butter 1  Avocado, thinly sliced 2  Eggs  to taste Salt and pepper 1 tsp  Crumbled feta cheese",https://food.ndtv.com/recipe-avocado-toast-957443,veg,iron calcium sodium iodine vitamin_a vitamin_k chloride chromium,anemia scurvy rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet mediterranean_diet high_protien_diet vegan_diet low_sodium_diet paleo_diet low_carb_diet ketogenic_diet,455,13
meal_id_19,Makhana Dry Fruit Namkeen,desi,100 gm  Makhana 1 cup  Peanuts 1 cup  Almonds 1 cup  Cashew nuts 1/2 cup  Watermelon seeds 1 cup  Raisins 1 cup  Coconut pieces (thin and cut lengthwise) 7-8  Curry leaves 3  Green chillies 1 tsp  Black pepper  to taste Rock salt 2 tbsp  Powdered sugar 1/2 tsp  Red chilli 1 tsp  Roasted jeera 3 tbsp  Desi ghee,https://food.ndtv.com/recipe-makhana-dry-fruit-namkeen-957442,veg,iron sodium iodine magnesium carbohydrates vitamin_e chloride chromium copper manganese,anemia diabeties scurvy eye_disease heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,200,27
meal_id_20,Beetroot Idli,idli,1 cup  Light roast semolina 1 cup  Curd  to taste Salt 1/2 cup  Beetroot puree 1/2 inch  Ginger 3  Green chillies 1 tbsp  Cashew nuts 1 tsp  Urad dal 5-6  Curry leaves 1 tsp  Eno fruit salt,https://food.ndtv.com/recipe-beetroot-idli-957410,veg,iron sodium iodine carbohydrates vitamin_e chloride chromium copper manganese,anemia diabeties scurvy heart_disease obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,265,36
meal_id_21,Stuffed Oats Chilla,oats,"1 cup  Oats (powered in a mixture) 2 tbsp  Gram Flour 1 tsp  Oil 1/2 tsp  Green Chillies (chopped) 1 cup  Water 1/2 tsp  Turmeric Powder 1/2 tsp  Asafoetida 1 tbsp  Coriander Leaves (chopped)  to taste Salt 3 tsp  Oil (for making the chilla)   For the vegetable stuffing: 1/2 cup  Green Peas (boiled) 1/2 cup  Potatoes (peeled, boiled &amp; chopped) 1/2 tbsp  Oil 1 tbsp  Onions (chopped) 1 tbsp  Tomatoes (chopped) 1/2 tsp  Turmeric Powder 1/2 tsp  Garam Masala  A pinch of Asafoetida  to taste Salt and Chilli Powder 1 cup  Tamarind Chutney (for serving)",https://food.ndtv.com/recipe-stuffed-oats-chilla-957220,veg,iron sodium iodine carbohydrates vitamin_c chloride,anemia diabeties scurvy heart_disease obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet high_protien_diet gluten_free_diet vegan_diet low_sodium_diet ketogenic_diet,395,88
meal_id_22,Masala Oats,oats,1 Cup Oats 1 small Onion (Chopped) 1 small Tomato (Chopped) 2 tbsp Carrot (Chopped) 2  Green Chillies 2 tbsp Peas 1/2 tsp Garam Masala  to taste Red Chilli Powder 1 tsp Turmeric Powder  to taste Salt,https://food.ndtv.com/recipe-masala-oats-957194,veg,iron sodium iodine carbohydrates chloride,anemia diabeties scurvy heart_disease obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet high_protien_diet gluten_free_diet vegan_diet low_sodium_diet ketogenic_diet,570,14
meal_id_23,Paneer Pancake,paneer,"250 gms Grated Paneer (Homemade Cottage Cheese) 2  Whole Eggs , or Flax Meal Egg Replacer  3 Tbsp Sugar  1/2 tsp Baking powder  1/2 Cup Whole Wheat Flour    Salt , a pinch  3 Tbsp Milk  2 Tbsp Butter (Salted) ",https://food.ndtv.com/recipe-paneer-pancake-957008,veg,iron calcium sodium iodine vitamin_a vitamin_d vitamin_k chloride potassium phosphorus,anemia scurvy rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,250,19
meal_id_24,Avocado Mash On Toast,coriander,"2  Avocado 4  Slices of bread (preferably sour dough) 2  Spring onions, chopped 1  Lime juice 1 tbsp Coriander , chopped 1 tsp Green chilli, chopped   Optional: 2 tsp Olive oil  to taste Black salt",https://food.ndtv.com/recipe-avocado-mash-on-toast-957005,veg,iron sodium iodine chloride,anemia scurvy heart_disease obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet mediterranean_diet high_protien_diet vegan_diet low_sodium_diet paleo_diet low_carb_diet ketogenic_diet,295,7
meal_id_25,Cream Of Spinach Soup,soup,"1  Onion, finely chopped 2 tbsp Butter 2 cup Fresh spinach, chopped 3 medium Potatoes (½ kg), peeled and cut into 1-inch cubes 1 and a half cup Chicken or vegetable broth 1 and a half cup Water  2  Chicken or vegetable bouillon cubes 2  Half and half 1/2 tsp Salt 1/8 tsp Black Pepper 3/4  Sour cream   A pinch of Ground all-spice 3/4 cup Chopped chives for garnish",https://food.ndtv.com/recipe-cream-of-spinach-soup-957002,veg,sodium iodine vitamin_c vitamin_a vitamin_k chloride,anemia scurvy eye_disease heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet dash_diet vegan_diet low_sodium_diet ketogenic_diet,370,26
meal_id_26,Eggs Benedict With Sesame Bagels,fresh,"1 Tbsp Black peppercorns-    White Wine Vinegar divided- 2 cups + 3 tbsp 3 large Eggs yolks 1 cup Unsalted butter, melted and skimmed- 1 tbsp Fresh lemon juice 1/2 tbsp Kosher salt 1/2 tbsp Black Pepper 4  Large Eggs 4 Slices  Cured Ham   Chives 2  Sesame Bagels, Spilt and toasted",https://food.ndtv.com/recipe-eggs-benedict-with-sesame-bagels-956935,non_veg,iron sodium iodine vitamin_a vitamin_k chloride,anemia diabeties scurvy eye_disease rickets heart_disease obesity goitre kidney_disease pregnancy,low_fat_diet omni_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,440,28
meal_id_27,Steamed Fish In Banana Leaves,banana,2  Fish Fillet 2 tbsp Lemon Juice  to taste Salt 2 tbsp Coriander Leaves 4 tbsp Desiccated Coconut 6  Green Chillies 7-8  Garlic Cloves 1 tsp Cumin Seeds   Boiled Water As Required,https://food.ndtv.com/recipe-steamed-fish-in-banana-leaves-956934,non_veg,iron sodium iodine magnesium selenium vitamin_a vitamin_d chloride chromium copper fluoride,anemia diabeties scurvy rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet hormone_diet low_fat_diet omni_diet mediterranean_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,585,24
meal_id_28,Saunf Ka Sherbat,ice,1/2 Cup Fennel seeds (saunf) 2  Green cardamoms 2  Cloves 5-6  Black peppercorns 15-16  Fresh mint leaves 4 tbsp Low Calorie Sweetner   Black salt to taste   Salt to taste 2 tsp Roasted fennel powder   Ice cubes as required,https://food.ndtv.com/recipe-saunf-ka-sherbat-956931,veg,iron sodium iodine magnesium chloride copper,anemia diabeties scurvy heart_disease hypertension obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,485,78
meal_id_29,Mango Yogurt Parfait,yogurt,"1  Mango, peeled and chopped 1 and a half cup Muesli 1 and a half cup Hung Low fat yogurt 3 tbsp Low Calorie sweetener 1/2 tsp Green cardamom powder   A few saffron strands, soaked in water   4 tbsps + 4 tsps soaked basil seeds (sabza)   Fresh mint sprigs for garnish",https://food.ndtv.com/recipe-mango-yogurt-parfait-956930,veg,iron calcium magnesium copper,anemia diabeties scurvy rickets hypertension obesity goitre pregnancy,vegan_diet low_fat_diet ketogenic_diet high_protien_diet,415,38
meal_id_30,Potato And Egg Salad,salad,1000 gms Potatoes 350 gram Hard-Boiled Eggs Chopped 250 gram Mayonnaise 100 gram Gherkins Chopped 20 gram Salt 10 gram Pepper 20 gram Parsley Chopped 20 gram Chive Batons,https://food.ndtv.com/recipe-potato-and-egg-salad-956906,non_veg,iron sodium iodine vitamin_a vitamin_k chloride fiber,anemia diabeties scurvy eye_disease rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet dash_diet high_protien_diet gluten_free_diet vegan_diet low_sodium_diet low_carb_diet ketogenic_diet,235,68
meal_id_31,Coconut Milk Based Mushrooms With Herb Rice,milk,  For Herb Rice:    Olive oil 2 tsp Chopped garlic 1 tsp Red chilli flakes   1 bowl of steamed rice 2 tbsp Black pepper powder 1.5 tbsp Smokey garlic marinade 1 tbsp Lemon Juice   For Coconut Milk-Based Mushroom -   Olive oil   Freshly chopped garlic 1/2 cup Chopped onions 1 Bowl  Chopped mushrooms 1 tsp Red Chilli flakes 1 Tin  Coconut Milk 1.5 tbsp Smokey Garlic Marinade   Parsley,https://food.ndtv.com/recipe-coconut-milk-based-mushrooms-with-herb-rice-956874,veg,calcium carbohydrates vitamin_d potassium,anemia diabeties rickets heart_disease hypertension obesity kidney_disease pregnancy,type_a_diet hormone_diet low_fat_diet omni_diet dash_diet high_protien_diet gluten_free_diet vegan_diet low_carb_diet ketogenic_diet,220,49
meal_id_32,Tok Dal (Bengali-Style Raw Mango Dal),mango,"1/2 Cup Masoor dal  1  Raw mango, deskinned, deseeded and sliced 1/2 tsp Mustard Seeds 1  Whole red chilli  1-2  Green Chillies 1/2 tsp Turmeric powder    Salt and sugar, as per taste  1-2 tsp Mustard Oil",https://food.ndtv.com/recipe-tok-dal-bengali-style-raw-mango-dal-956817,veg,iron sodium iodine magnesium chloride copper,anemia diabeties scurvy heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet dash_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,405,68
meal_id_33,Oats Dahi Ke Kabab,dahi,  For outer coating 1 cup Hung Curd 3/4 cup Oats Powder  to taste Black Pepper 2 tsp Chopped green chilies 1 tsp Garam Masala   Salt to taste 2 tsp Chopped cilantro   For stuffing 1 cup Grated Paneer 1 tsp Chat masala   Salt to taste   Pinch of sugar 1 tsp Garam Masala 2 tsp Raisins 2 tsp Cashew Nuts,https://food.ndtv.com/recipe-oats-dahi-ke-kabab-956813,veg,iron sodium iodine carbohydrates vitamin_e chloride chromium copper manganese phosphorus,anemia diabeties scurvy heart_disease obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet high_protien_diet gluten_free_diet vegan_diet low_sodium_diet ketogenic_diet,630,75
meal_id_34,French Omelette,omelette,2 Large Eggs 2 tbsp Milk   Pinch kosher salt and freshly ground black pepper 1 tbsp Unsalted butter,https://food.ndtv.com/recipe-french-omelette-956810,veg,iron calcium sodium iodine vitamin_a vitamin_d vitamin_k chloride potassium,anemia diabeties scurvy rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,525,55
meal_id_35,Chana Dal Kebab,kebab,1 Cup Chana Dal 2-3  Garlic (Finely Chopped) 2 cups Blanched spinach 1 cup Grated paneer 1/2 tsp Garam Masala 1 cup All Purpose Flour 1 tsp Chaat masala 5-6  Chopped green chillies 2 tbsp Boiled peas (optional)   Salt as required 1 cup Breadcrumbs 1 tsp Ginger (finely chopped),https://food.ndtv.com/recipe-chana-dal-kebab-956771,non_veg,iron sodium iodine vitamin_c vitamin_a vitamin_k chloride phosphorus,anemia scurvy heart_disease obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,495,76
meal_id_36,No Bake Apple Pie,pie,"250 gms Digestive/ Whole Wheat Crackers/Low carb Cheese crackers 1/2 cup Coconut oil 200 gram Apple, sliced 1 Inch  Cinnamon stick 1/2 tsp Stevia 1  Lemon 1  Star anise",https://food.ndtv.com/recipe-no-bake-apple-pie-956763,veg,calcium chromium,anemia diabeties rickets hypertension obesity pregnancy,vegan_diet low_fat_diet ketogenic_diet high_protien_diet,340,99
meal_id_37,Grated Egg Avocado Toast,egg,2  Eggs  1 large Tomato 1  Avocado 4 tbsp Mayonnaise (optional)    Salt to taste    Black pepper powder to taste   Red chilli flakes to taste    Oregano to taste  1 tbsp Lemon Juice,https://food.ndtv.com/recipe-grated-egg-avocado-toast-956759,non_veg,iron sodium iodine vitamin_a vitamin_k chloride,anemia diabeties scurvy eye_disease rickets heart_disease obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet mediterranean_diet high_protien_diet gluten_free_diet vegan_diet low_sodium_diet paleo_diet low_carb_diet ketogenic_diet,305,97
meal_id_38,Sticky Date Pudding,pudding,"1 3/4 Cups All-purpose flour, sifted 1 tsp Bicarbonate of soda (Baking soda) 1 1/2 cups Boiling water 125 gram Butter, softened 1 cup Brown Sugar 1 tsp Vanilla extract 2  Eggs 250 gram Medjoul dates, pitted and chopped   For Caramel Sauce 1 cup Brown Sugar 300 ml Thickened cream 1/2 tsp Vanilla extract 60 gram Butter",https://food.ndtv.com/recipe-sticky-date-pudding-956752,veg,iron vitamin_a vitamin_k,anemia scurvy obesity goitre pregnancy,vegan_diet low_fat_diet ketogenic_diet high_protien_diet,420,71
meal_id_39,Date Ice Cream,ice,350 gms Medjool Dates 600 ml Whipped Cream 300 ml Milk 1/2 tbsp Vanilla Essence 6  Egg yolks   A pinch of Salt,https://food.ndtv.com/recipe-date-ice-cream-956734,veg,iron calcium sodium iodine carbohydrates vitamin_a vitamin_d vitamin_k chloride potassium,anemia diabeties scurvy eye_disease rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,290,6
meal_id_18,Avocado Toast,bread,1  Ripe avocado 1/2  Lemon Juice To Taste  Chilli flakes 2 Slices  Sourdough bread or multigrain bread   good drizzle extra virgin olive oil,https://food.ndtv.com/recipe-avocado-toast-956723,veg,fiber,heart_disease pregnancy obesity,high_fiber_diet mediterranean_diet low_sodium_diet paleo_diet low_carb_diet ketogenic_diet,670,35
meal_id_40,Mint Gur Sharbat,gur,1/2 tsp Jaggery 4-5  Mint Leaves   A pinch of pink salt and jeera powder  1 cup Cold water ,https://food.ndtv.com/recipe-mint-gur-sharbat-956712,veg,sodium iodine chloride,heart_disease kidney_disease goitre obesity,vegan_diet low_sodium_diet,335,84
meal_id_41,Jackfruit And Spinach Sambar,spinach,1/2  Toor Dal 1 cup Spinach Stalk 1 cup Jackfruit Seed 1 cup Drumstick 1/2 cup Shallots 1/4 cup Grated Coconut 2 and a half tbsp Sambar Powder 1 tsp Mustard 1 tsp Fenugreek 2 nos Red Chilli   Curry Leaves – as required 1 tbsp Coconut Oil 2 tsp Tamarind Water 1 cup Tomato  1 cup Lady’s finger   Water – as required   Salt – to taste,https://food.ndtv.com/recipe-jackfruit-and-spinach-sambar-956692,veg,sodium iodine vitamin_c vitamin_a vitamin_k chloride,anemia scurvy heart_disease hypertension obesity goitre kidney_disease pregnancy,vegan_diet low_sodium_diet dash_diet,490,7
meal_id_42,Komal - Gujarati Chaas,curry,1 Cup Dahi  1 cup Coconut Milk 2 tsp Freshly chopped coriander leaves  2  Slited green chillies  2-3  Curry Leaves 2 tsp Oil    One pinch hing  1/2 tsp Cumin Seeds   Salt and sugar. to taste ,https://food.ndtv.com/recipe-komal-gujarati-chaas-956653,veg,iron calcium sodium iodine magnesium vitamin_d chloride potassium copper,anemia diabeties scurvy rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,395,61
meal_id_43,Iranian Omelette,omelette,2  Eggs  2  Tomatoes  1  Onion 1  Black Pepper 1 tsp Red chilli powder  1/2 tsp Cinnamon   Salt as per taste,https://food.ndtv.com/recipe-iranian-omelette-956648,veg,iron sodium iodine vitamin_c vitamin_a vitamin_k chloride,anemia scurvy heart_disease obesity goitre kidney_disease pregnancy,low_fat_diet high_protien_diet vegan_diet low_sodium_diet ketogenic_diet,360,34
meal_id_44,Almond And Cauliflower Rice Salad,salad,1 Cup Almond with skin 1 cups Pulsed cauliflower   Sea salt to taste 1/2 tsp Black Pepper powde 1 tbsp Chopped fresh coriander 2 tsp Lemon Juice 1 tsp Chopped root ginger 1 tsp Chopped green chilli 1/2 tsp Cumin Seeds 2 tbsp Olive Oil,https://food.ndtv.com/recipe-almond-and-cauliflower-rice-salad-956639,veg,iron sodium iodine magnesium carbohydrates chloride copper fiber,anemia diabeties scurvy rickets heart_disease hypertension obesity goitre kidney_disease pregnancy,high_fiber_diet low_fat_diet omni_diet dash_diet mediterranean_diet high_protien_diet gluten_free_diet vegan_diet low_sodium_diet ketogenic_diet,665,16
